"sales_id","shop_id","week_no","start_date","end_date","sales_amount","sales_target","item_sold","transactions","staff_hours","staff_hours_target","labour_cost","labour_cost_target","total_tax","sales_status"
"1","10","27","41449","41455","1629.20","10000.00","204.00","3","0","0.86805555555556","0","300.00","0.00","1"
"2","10","28","41456","41462","0.00","0.00","0.00","0","0","0","0","0.00","0.00","1"
"3","10","29","41463","41469","1159.29","60000.00","177.00","33","0.33518518518519","5.2083333333333","81","1800.00","816.06","1"
"4","10","30","41470","41476","756.71","70000.00","150.00","33","0","6.0763888888889","0","2100.00","625.93","1"
"5","10","31","41477","41483","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"6","10","32","41484","41490","0.00","60000.00","0.00","0","0","5.2083333333333","0","1800.00","0.00","1"
"7","10","33","41491","41497","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"8","10","34","41498","41504","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"9","10","35","41505","41511","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"10","10","36","41512","41518","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"11","10","37","41519","41525","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"12","10","38","41526","41532","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"13","10","39","41533","41539","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"14","10","40","41540","41546","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"15","10","41","41547","41553","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"16","10","42","41554","41560","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"17","10","43","41561","41567","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
"18","10","44","41568","41574","0.00","70000.00","0.00","0","0","6.0763888888889","0","2100.00","0.00","1"
